DATE;REGION;AREA;TEMP
2021-01-01;Адыгея;2;8.61111111111111
2021-01-01;Алтай;4;-17.61111111111111
2021-01-01;Алтайский край;4;-27.571428571428573
2021-01-01;Амурская обл.;7;-25.119047619047624
2021-01-01;Архангельская обл.;6;-6.625925925925927
2021-01-01;Астраханская обл.;2;-0.6851851851851857
2021-01-01;Башкортостан;5;-9.555555555555555
2021-01-01;Белгородская обл.;1;0.0740740740740738
2021-01-01;Брянская обл.;1;1.4027777777777781
2021-01-01;Бурятия;4;-26.438271604938272
2021-01-01;Владимирская обл.;1;-1.3611111111111116
2021-01-01;Волгоградская обл.;2;-3.8611111111111116
2021-01-01;Вологодская обл.;1;-2.8950617283950617
2021-01-01;Воронежская обл.;1;-0.5069444444444448
2021-01-01;Дагестан;2;4.793650793650793
2021-01-01;Еврейская АО;7;-27.444444444444446
2021-01-01;Забайкальский край;4;-27.833333333333332
2021-01-01;Ивановская обл.;1;-2.2500000000000004
2021-01-01;Ингушетия;2;4.777777777777779
2021-01-01;Иркутская обл.;4;-32.16959064327485
2021-01-01;Кабардино-Балкария;2;-1.9444444444444446
2021-01-01;Калининградская обл.;6;-2.3888888888888893
2021-01-01;Калмыкия;2;1.2870370370370374
2021-01-01;Калужская обл.;1;0.05555555555555586
2021-01-01;Камчатский край;7;-8.038888888888888
2021-01-01;Карачаево-Черкессия;2;0.4444444444444448
2021-01-01;Карелия;6;-0.9914529914529915
2021-01-01;Кемеровская обл.;4;-26.51388888888889
2021-01-01;Кировская обл.;5;-8.430555555555555
2021-01-01;Коми;6;-22.34259259259259
2021-01-01;Костромская обл.;1;-4.222222222222222
2021-01-01;Краснодарский край;4;3.888888888888888
2021-01-01;Красноярский край;7;-30.15217391304347
2021-01-01;Крым;2;10.0
2021-01-01;Курганская обл.;5;-27.574074074074073
2021-01-01;Курская обл.;1;-0.4074074074074073
2021-01-01;Ленинградская обл.;6;0.21296296296296302
2021-01-01;Липецкая обл.;1;-0.4166666666666667
2021-01-01;Магаданская обл.;7;-29.22222222222223
2021-01-01;Марий Эл;3;-8.722222222222223
2021-01-01;Мордовия;3;-4.592592592592593
2021-01-01;Москва;1;-0.3703703703703704
2021-01-01;Московская обл.;1;-0.5158730158730161
2021-01-01;Мурманская обл.;6;-4.999999999999999
2021-01-01;Ненецкий АО;6;-21.300000000000004
2021-01-01;Нижегородская обл.;3;-4.395061728395062
2021-01-01;Новгородская обл.;6;0.8611111111111105
2021-01-01;Новосибирская обл.;4;-34.27083333333333
2021-01-01;Омская обл.;4;-32.1031746031746
2021-01-01;Оренбургская обл.;5;-9.238095238095237
2021-01-01;Орловская обл.;1;-0.11111111111111072
2021-01-01;Пензенская обл.;3;-5.911111111111112
